id,cliente_id,data_pedido,status,valor_total,canal_venda,cupom_desconto
45,217,2023-07-27,entregue,5940.2,site,sim
46,2426,2023-02-20,entregue,14724.13,site,não
47,1945,2023-09-04,cancelado,13059.39,site,sim
48,2672,2023-02-16,entregue,55.68,marketplace,não
49,1454,2024-09-23,cancelado,20643.98,site,não
50,2606,2024-06-20,devolvido,954.26,app,não
51,1793,2023-12-12,cancelado,8114.8,marketplace,não
52,2165,2024-03-30,cancelado,24393.8,marketplace,não
53,231,2024-04-24,em_transito,964.25,site,sim
54,455,2024-04-26,entregue,25716.68,site,não
55,2596,2023-09-15,entregue,3096.6,app,sim
56,929,2023-11-29,entregue,6119.82,app,não
57,1175,2024-11-20,entregue,7704.02,marketplace,não
58,61,2023-09-21,devolvido,2669.56,marketplace,não
59,1619,2023-06-16,entregue,16393.71,site,não
60,1567,2024-04-11,entregue,19353.46,app,não
61,2797,2024-03-23,entregue,9025.58,marketplace,não
62,1494,2023-05-26,cancelado,9284.65,site,não
63,1591,2023-11-16,entregue,27766.75,site,não
64,2658,2023-09-22,entregue,2361.7,site,não
65,2205,2024-08-14,entregue,8261.75,site,não
66,42,2023-04-20,entregue,841.61,marketplace,sim
67,937,2023-11-04,entregue,5078.12,app,não
68,1590,2024-02-18,cancelado,1030.23,marketplace,não
69,1352,2024-07-17,entregue,12442.07,site,não
70,1132,2024-03-06,cancelado,6149.61,app,não
71,1739,2023-05-06,entregue,6166.1,app,não
72,561,2023-03-20,entregue,3835.4,app,sim
73,2306,2023-04-11,entregue,15780.14,app,não
74,2751,2024-04-17,entregue,8534.3,site,sim
75,1783,2024-01-14,entregue,11506.41,app,sim
76,1809,2023-11-15,entregue,18744.76,site,sim
77,1080,2024-05-07,cancelado,1296.12,marketplace,não
78,1994,2023-08-22,entregue,11900.59,marketplace,não
79,1236,2023-11-29,entregue,20692.08,marketplace,sim
80,1362,2024-02-08,em_transito,5170.51,marketplace,sim
81,1230,2024-04-04,entregue,7580.04,app,não
82,590,2023-03-11,entregue,14037.66,marketplace,não
83,1643,2024-12-09,entregue,9176.42,site,não
84,1947,2024-02-21,entregue,12631.6,marketplace,não
85,1612,2023-08-28,cancelado,2245.12,site,não
86,25,2023-01-27,devolvido,3070.18,marketplace,não
87,344,2023-12-02,devolvido,6182.59,marketplace,sim
88,786,2023-11-26,entregue,2019.86,app,não
89,2048,2023-12-19,cancelado,12516.35,app,não
90,989,2024-06-23,cancelado,11926.27,app,sim
91,534,2023-07-31,entregue,2802.17,site,não
92,424,2023-11-03,devolvido,2429.6,app,não
93,2015,2023-11-06,cancelado,8816.28,site,não
94,1184,2024-07-19,entregue,5085.46,app,não
95,1741,2023-01-09,entregue,21796.53,site,sim
96,1693,2024-08-05,cancelado,9797.93,marketplace,não
97,1629,2023-03-21,entregue,7272.1,site,sim
98,80,2023-03-24,em_transito,10015.72,app,não
99,2807,2023-11-02,entregue,14607.87,app,não
100,1040,2024-01-21,entregue,13223.09,marketplace,não
101,1142,2024-03-19,entregue,15905.65,site,não
102,1332,2023-06-10,entregue,13037.42,app,sim
103,897,2023-08-19,entregue,4628.03,site,não
104,357,2024-08-09,devolvido,12045.02,site,não
105,2307,2023-03-02,devolvido,27090.91,site,não
106,704,2023-06-20,entregue,5610.02,marketplace,não
107,2567,2023-01-24,entregue,3340.28,app,sim
108,2029,2024-02-27,entregue,6568.47,site,não
109,2315,2023-06-25,entregue,6390.0,marketplace,sim
110,1226,2023-09-01,cancelado,4857.75,marketplace,não
111,923,2023-06-10,em_transito,7235.37,app,sim
112,1003,2023-02-11,em_transito,12727.94,site,sim
113,465,2023-08-20,entregue,4347.03,app,não
114,1659,2024-07-21,entregue,15070.4,marketplace,não
115,1006,2023-06-16,devolvido,11302.09,app,sim
116,30,2023-01-28,cancelado,2276.36,app,sim
117,1104,2023-04-03,devolvido,1935.05,site,não
118,1609,2024-09-18,em_transito,4691.96,marketplace,sim
119,812,2023-11-15,entregue,10771.87,app,sim
120,747,2023-10-02,entregue,12284.14,marketplace,não
121,401,2023-07-05,entregue,12767.06,app,sim
122,2960,2024-03-09,entregue,11855.07,app,não
123,1570,2023-11-29,cancelado,13296.17,site,não
124,937,2023-11-19,cancelado,7316.31,marketplace,não
125,563,2023-07-15,entregue,3459.0,site,não
126,1302,2023-11-07,cancelado,9198.92,marketplace,não
127,2729,2024-06-13,entregue,8029.67,app,sim
128,520,2023-09-15,entregue,11678.07,site,não
129,1042,2024-11-22,cancelado,10793.35,app,sim
130,31,2024-07-09,entregue,7125.68,app,não
131,813,2023-08-29,entregue,39211.76,site,não
132,2530,2023-06-19,entregue,17735.44,app,não
133,2129,2024-05-30,entregue,8569.17,app,não
134,1314,2024-12-28,entregue,10883.35,app,sim
135,1630,2024-11-05,entregue,4240.77,marketplace,não
136,1307,2023-03-24,entregue,13049.34,marketplace,sim
137,36,2024-06-30,cancelado,19796.95,site,não
138,1229,2024-07-19,entregue,4053.56,app,não
139,372,2023-06-23,entregue,4623.23,site,sim
140,2434,2023-11-01,cancelado,8999.47,marketplace,sim
141,163,2024-02-13,entregue,32092.52,site,sim
142,2379,2023-07-18,entregue,26494.36,site,não
143,949,2023-02-21,entregue,19385.28,marketplace,não
144,728,2023-11-02,cancelado,1081.52,app,sim
145,2847,2023-11-01,entregue,15733.8,marketplace,sim
146,1640,2023-11-22,entregue,4435.48,marketplace,não
147,532,2023-08-12,entregue,4702.28,marketplace,sim
148,935,2023-07-24,entregue,15787.38,app,não
149,914,2023-07-30,cancelado,11021.65,site,não
150,1061,2023-04-06,entregue,7368.66,app,não
151,1131,2023-10-22,em_transito,3385.0,site,sim
152,1591,2024-05-03,devolvido,38928.7,app,não
153,1029,2023-07-04,em_transito,5354.41,marketplace,não
154,1939,2023-12-15,entregue,16813.1,site,não
155,2026,2024-08-01,entregue,7667.89,site,sim
156,2296,2023-11-12,entregue,3611.55,app,sim
157,1374,2024-05-28,entregue,13893.41,app,não
158,1471,2024-07-02,cancelado,9465.05,app,não
159,2326,2023-11-23,entregue,941.67,app,não
160,2675,2023-11-01,entregue,14578.3,marketplace,sim
161,1974,2023-10-02,entregue,1626.67,site,sim
162,2472,2023-11-26,entregue,1738.04,site,sim
163,1249,2024-10-25,entregue,6552.5,marketplace,sim
164,2141,2023-08-06,entregue,5481.17,app,sim
165,2670,2023-12-26,entregue,12077.24,app,não
166,1589,2024-02-18,em_transito,11961.64,marketplace,não
167,1217,2023-03-31,entregue,18812.47,marketplace,não
168,245,2024-05-01,entregue,3445.48,marketplace,sim
169,1371,2023-11-15,entregue,29384.5,marketplace,não
170,1755,2023-11-29,entregue,11113.46,site,sim
171,2086,2023-01-28,entregue,7542.6,app,não
172,493,2023-05-19,entregue,8531.4,site,não
173,1152,2024-09-21,cancelado,27864.19,site,não
174,894,2023-12-04,entregue,29678.03,marketplace,não
175,2346,2023-11-08,entregue,6720.71,marketplace,não
176,1973,2023-01-25,cancelado,3767.77,marketplace,não
177,2609,2023-05-22,devolvido,1610.92,site,sim
178,2298,2024-12-17,entregue,11426.23,site,não
179,1601,2023-03-04,entregue,12636.84,site,não
180,1944,2024-08-17,entregue,33710.36,marketplace,não
181,2321,2023-06-13,entregue,23233.52,app,não
182,836,2023-08-27,entregue,12312.8,app,não
183,1262,2023-06-25,entregue,11666.5,app,não
184,2724,2023-03-31,em_transito,594.45,marketplace,não
185,79,2023-11-12,entregue,6924.28,marketplace,sim
186,736,2023-11-11,entregue,3518.47,marketplace,sim
187,666,2023-10-06,entregue,8298.56,site,não
188,1005,2024-12-15,entregue,5127.2,site,sim
189,458,2024-05-29,entregue,17432.99,site,não
190,2777,2023-11-29,entregue,12277.3,marketplace,não
191,422,2023-09-16,em_transito,14024.15,marketplace,não
192,382,2023-07-24,cancelado,22385.59,app,sim
193,640,2023-11-02,entregue,632.68,site,não
194,2624,2023-03-09,entregue,2931.67,app,sim
195,2254,2023-10-31,devolvido,14245.89,app,não
196,79,2024-06-12,entregue,17633.37,marketplace,não
197,2650,2023-10-10,cancelado,31498.77,site,não
198,461,2024-01-30,entregue,14315.75,site,não
199,136,2023-01-18,entregue,11880.05,site,não
200,1726,2023-09-28,entregue,3461.13,app,não
201,1037,2024-06-18,devolvido,6579.65,marketplace,sim
202,1210,2024-11-04,entregue,5925.27,site,não
203,369,2023-06-09,entregue,2919.36,site,não
204,1660,2024-12-22,entregue,2664.26,site,não
205,1203,2023-11-22,devolvido,5396.21,site,sim
206,911,2024-03-11,entregue,5816.9,app,não
207,1505,2023-10-13,cancelado,1376.9,marketplace,não
208,2090,2023-05-02,devolvido,40808.99,app,não
209,1514,2024-12-30,em_transito,8937.25,app,sim
210,1652,2024-09-10,em_transito,13763.85,marketplace,não
211,2382,2024-05-11,entregue,13483.18,marketplace,sim
212,1585,2024-02-25,entregue,20655.39,marketplace,sim
213,2332,2023-07-01,devolvido,16000.02,site,não
214,2461,2023-06-08,em_transito,2140.7,marketplace,não
215,883,2024-07-20,entregue,5592.06,marketplace,não
216,2030,2023-07-11,em_transito,7807.59,app,sim
217,2152,2024-06-19,devolvido,5876.41,app,sim
218,2163,2024-09-05,entregue,12273.39,site,sim
219,273,2023-02-20,em_transito,3738.42,marketplace,não
220,2527,2023-03-10,cancelado,19179.38,app,não
221,2995,2023-03-14,entregue,9551.58,site,não
222,2604,2024-04-26,entregue,17558.44,site,não
223,2750,2023-06-13,cancelado,10696.57,marketplace,sim
224,1350,2024-12-27,cancelado,7908.8,marketplace,sim
225,127,2024-05-11,entregue,1893.55,app,sim
226,2289,2024-02-15,em_transito,13858.3,site,não
227,140,2024-01-14,entregue,2162.64,app,sim
228,1008,2023-01-03,entregue,32648.86,app,não
229,1365,2023-06-06,entregue,1930.36,marketplace,não
230,1016,2023-11-11,entregue,9189.21,app,sim
231,2690,2024-11-07,entregue,4800.32,marketplace,sim
232,2032,2023-06-23,entregue,6284.32,site,sim
233,2358,2023-07-03,entregue,16220.4,site,não
234,2448,2024-08-27,entregue,7234.34,site,não
235,2998,2023-10-28,entregue,20769.21,app,não
236,1110,2023-01-27,cancelado,5610.75,app,não
237,1292,2023-01-06,devolvido,2294.4,marketplace,sim
238,293,2024-10-06,em_transito,15668.8,site,não
239,368,2023-09-02,entregue,10002.71,marketplace,sim
240,1571,2023-09-19,entregue,4722.48,site,não
241,1411,2023-03-22,entregue,20455.88,marketplace,não
242,2537,2024-01-10,entregue,27442.41,site,não
243,1937,2023-11-10,devolvido,9316.85,site,não
244,1277,2023-11-09,em_transito,1889.52,site,não
245,613,2024-07-06,entregue,29031.03,site,não
246,2996,2023-11-17,em_transito,3135.5,app,não
247,2574,2023-01-22,entregue,4667.1,marketplace,sim
248,2491,2023-04-03,entregue,38847.95,app,não
249,2959,2024-03-03,entregue,20214.22,site,não
250,1080,2024-05-30,cancelado,25530.45,marketplace,não
251,2479,2023-02-13,entregue,28185.89,marketplace,não
252,2520,2023-11-27,devolvido,940.11,marketplace,não
253,324,2023-11-22,entregue,10984.9,site,não
254,2298,2023-11-06,entregue,6347.74,app,sim
255,133,2024-04-10,entregue,17110.77,marketplace,sim
256,2778,2023-11-16,entregue,85.57,app,não
257,233,2024-11-26,cancelado,14194.22,marketplace,não
258,261,2023-03-17,entregue,24631.27,marketplace,não
259,1991,2024-02-22,devolvido,10229.96,site,sim
260,1540,2024-01-08,em_transito,3008.7,site,não
261,1234,2023-11-12,cancelado,28890.54,app,sim
262,2118,2023-12-05,entregue,7126.5,site,não
263,35,2023-05-13,entregue,20148.03,marketplace,não
264,33,2024-08-24,cancelado,14035.61,site,sim
265,676,2023-11-24,entregue,19642.3,site,sim
266,1389,2023-07-24,cancelado,4114.25,app,não
267,460,2023-07-11,entregue,11112.62,app,não
268,1899,2024-05-19,entregue,7298.72,app,não
269,180,2024-07-24,entregue,17524.93,marketplace,sim
270,510,2024-10-07,entregue,15856.81,marketplace,não
271,2169,2023-10-17,entregue,9623.43,app,não
272,2810,2023-05-07,entregue,5423.64,app,não
273,962,2024-02-23,cancelado,7256.4,site,sim
274,1834,2023-11-15,cancelado,12148.48,marketplace,não
275,806,2023-03-06,entregue,38485.76,app,não
276,18,2023-11-08,cancelado,6204.69,marketplace,não
277,1295,2023-12-22,entregue,7161.65,marketplace,sim
278,308,2024-08-27,entregue,14944.51,app,não
279,1497,2024-11-27,entregue,3759.26,app,não
280,2961,2024-08-09,entregue,8822.79,marketplace,não
281,1630,2023-11-04,entregue,15011.5,marketplace,não
282,798,2024-12-31,entregue,5645.39,marketplace,não
283,29,2024-04-24,cancelado,5938.97,site,não
284,1942,2023-04-01,devolvido,15221.41,marketplace,sim
285,105,2024-03-18,entregue,30343.75,app,não
286,2473,2023-08-06,entregue,4362.66,marketplace,não
287,164,2024-07-28,cancelado,2665.19,site,não
288,1885,2024-08-30,entregue,3936.84,marketplace,não
289,2905,2024-07-01,entregue,19576.73,app,sim
290,2357,2023-11-23,cancelado,4869.04,site,sim
291,2115,2023-05-22,em_transito,5489.5,site,sim
292,612,2023-01-10,entregue,8637.55,marketplace,não
293,1101,2023-05-10,entregue,7563.92,app,sim
294,2496,2023-07-26,entregue,13788.21,marketplace,não
295,1008,2023-06-08,cancelado,24149.04,site,não
296,526,2024-04-23,entregue,16535.98,app,não
297,2867,2024-02-12,cancelado,20035.04,app,não
298,2288,2023-09-01,cancelado,31525.66,app,sim
299,1247,2023-10-22,cancelado,9733.31,site,não
300,2982,2023-11-29,entregue,11475.7,app,não
301,1503,2024-03-14,entregue,24046.01,app,não
302,655,2023-11-02,cancelado,19411.75,site,não
303,2599,2024-02-18,em_transito,6079.14,app,sim
304,1291,2024-10-23,cancelado,21415.4,marketplace,sim
305,2338,2024-08-11,cancelado,19148.84,marketplace,não
306,2453,2024-06-02,entregue,23021.61,app,não
307,59,2024-09-03,entregue,3460.29,marketplace,não
308,887,2023-08-16,entregue,19511.94,marketplace,sim
309,2245,2024-06-30,entregue,18486.19,marketplace,sim
310,2304,2023-08-22,cancelado,6345.78,app,sim
311,2864,2023-06-17,em_transito,17142.67,site,não
312,1246,2023-11-04,devolvido,13961.94,site,sim
313,1889,2024-12-13,entregue,19207.62,app,não
314,528,2024-06-22,entregue,4332.15,marketplace,sim
315,1189,2023-11-17,entregue,4744.95,site,não
316,1047,2024-01-14,cancelado,19344.75,app,não
317,1111,2024-11-26,entregue,9776.05,app,não
318,1585,2024-11-25,entregue,14634.09,marketplace,não
319,1618,2023-02-21,cancelado,3128.46,marketplace,não
320,543,2023-11-14,entregue,5882.3,app,não
321,1138,2024-11-12,em_transito,22920.09,marketplace,não
322,2022,2023-06-26,entregue,1997.87,app,sim
323,1829,2024-02-29,devolvido,3499.95,marketplace,sim
324,1568,2023-11-29,entregue,369.69,site,não
325,2099,2024-04-28,entregue,369.85,app,não
326,1666,2024-03-12,entregue,2400.51,site,sim
327,172,2024-04-08,em_transito,723.06,site,sim
328,1097,2023-08-06,entregue,15554.24,marketplace,não
329,2215,2024-07-01,cancelado,19581.8,site,não
330,871,2024-08-15,entregue,9957.52,site,sim
331,2443,2024-08-12,entregue,17408.77,app,não
332,449,2024-02-03,entregue,8549.92,marketplace,sim
333,839,2024-01-22,entregue,8748.15,marketplace,não
334,1319,2024-10-16,entregue,2860.99,site,não
335,2247,2023-11-22,entregue,15817.19,app,sim
336,182,2023-04-03,em_transito,3708.65,app,não
337,1149,2023-01-18,entregue,5981.1,app,sim
338,1803,2024-04-27,entregue,3757.94,app,não
339,466,2023-03-10,cancelado,9258.56,marketplace,não
340,826,2023-11-17,entregue,34140.03,marketplace,não
341,1624,2023-10-11,entregue,10539.08,site,não
342,1759,2023-11-21,cancelado,6591.63,app,não
343,1882,2024-05-07,em_transito,11400.25,app,não
344,2867,2023-11-13,entregue,10029.04,site,não
345,378,2024-06-26,entregue,6638.72,site,sim
346,1563,2023-12-15,entregue,12024.5,marketplace,sim
347,626,2024-04-16,entregue,6438.71,marketplace,sim
348,2373,2023-11-05,entregue,14016.53,site,sim
349,1755,2023-10-07,entregue,11443.08,marketplace,sim
350,1150,2024-04-02,entregue,17937.86,marketplace,não
351,2034,2023-07-27,em_transito,4273.49,marketplace,não
352,163,2023-08-04,entregue,16884.17,app,sim
353,238,2023-11-06,entregue,951.37,app,não
354,1659,2023-08-04,entregue,6361.55,marketplace,não
355,638,2024-12-02,entregue,16624.93,app,não
356,739,2023-11-21,entregue,12473.88,marketplace,sim
357,2240,2023-11-30,entregue,1745.53,marketplace,não
358,403,2023-05-18,entregue,4326.0,site,não
359,2442,2023-11-04,entregue,10272.65,site,não
360,2273,2024-07-20,devolvido,27163.02,marketplace,não
361,1789,2024-09-14,em_transito,1609.14,app,sim
362,1344,2024-09-20,cancelado,14009.59,app,não
363,1452,2023-01-14,cancelado,14272.29,app,não
364,894,2023-11-11,entregue,18606.5,app,não
365,135,2024-10-21,entregue,139.32,site,não
366,2912,2023-09-27,entregue,16196.97,site,não
367,313,2023-11-12,em_transito,432.39,app,não
368,930,2023-11-27,entregue,1645.52,site,não
369,1612,2024-06-30,cancelado,21118.83,marketplace,não
370,1845,2024-07-04,devolvido,26748.07,site,não
371,2571,2024-03-12,entregue,556.26,marketplace,não
372,950,2024-03-09,em_transito,14385.32,marketplace,sim
373,552,2024-05-06,cancelado,7295.2,site,sim
374,2386,2024-01-10,cancelado,13405.4,app,não
375,2714,2023-04-17,entregue,7252.0,marketplace,não
376,560,2023-04-01,entregue,8886.24,app,não
377,929,2023-11-04,entregue,8043.18,site,não
378,2568,2024-07-04,cancelado,18852.96,site,não
379,1195,2024-04-27,entregue,15130.5,marketplace,não
380,2232,2023-03-26,entregue,16836.3,marketplace,não
381,1740,2023-11-01,cancelado,16223.17,app,sim
382,386,2024-07-19,entregue,18068.6,site,não
383,1229,2024-11-14,entregue,18172.35,app,não
384,2304,2024-05-13,cancelado,24880.92,app,não
385,2196,2024-11-11,em_transito,3797.24,marketplace,não
386,621,2024-10-11,em_transito,20063.65,app,não
387,1575,2023-07-11,entregue,12426.76,site,não
388,1547,2024-02-28,entregue,16352.86,app,não
389,1139,2023-02-02,devolvido,16942.13,site,não
390,2514,2023-02-10,devolvido,11895.54,site,não
391,905,2024-05-14,entregue,22694.12,app,não
392,614,2023-10-10,cancelado,11834.48,app,não
393,1436,2023-11-10,em_transito,14988.9,app,sim
394,1544,2023-04-23,entregue,8730.66,marketplace,sim
395,2325,2024-01-01,em_transito,9459.96,marketplace,não
396,2387,2024-10-16,entregue,3436.3,site,não
397,380,2023-02-16,entregue,7613.28,site,não
398,1325,2023-11-06,cancelado,12718.52,marketplace,não
399,1111,2024-11-30,devolvido,146.95,app,sim
400,2196,2023-01-01,entregue,1117.63,app,sim
401,1480,2024-12-13,entregue,35342.82,site,sim
402,469,2024-08-25,entregue,17123.68,app,não
403,549,2023-01-09,entregue,12257.83,app,sim
404,1784,2024-06-10,cancelado,38090.02,site,não
405,410,2024-07-02,em_transito,28773.23,app,sim
406,378,2023-09-14,entregue,866.16,site,sim
407,61,2024-07-15,entregue,2030.94,site,não
408,2149,2023-11-05,entregue,4751.4,site,sim
409,2670,2023-05-27,devolvido,11696.6,app,sim
410,296,2023-09-27,cancelado,25489.22,site,não
411,800,2023-11-17,devolvido,8245.51,app,não
412,2849,2023-11-11,entregue,12007.15,site,sim
413,112,2024-05-06,cancelado,581.33,site,sim
414,581,2023-11-28,entregue,6140.36,app,não
415,528,2023-05-20,entregue,22286.28,app,sim
416,535,2023-06-30,entregue,22316.77,site,sim
417,2515,2023-03-19,entregue,9845.21,site,sim
418,934,2024-01-08,em_transito,2469.44,site,sim
419,2449,2024-02-26,entregue,8823.23,marketplace,sim
420,1223,2023-11-02,entregue,1127.76,marketplace,sim
421,1762,2023-10-02,cancelado,9420.45,site,não
422,1792,2024-10-13,entregue,10131.75,marketplace,não
423,2347,2024-10-02,entregue,7120.92,app,sim
424,378,2023-07-01,em_transito,24558.31,app,não
425,272,2024-02-04,entregue,17192.03,site,não
426,1707,2023-04-18,entregue,11379.71,app,sim
427,2383,2023-06-13,devolvido,1204.14,app,não
428,1614,2023-11-22,entregue,4972.85,marketplace,não
429,1671,2024-10-11,entregue,24267.36,marketplace,sim
430,2897,2024-02-02,em_transito,20430.54,app,sim
431,642,2024-10-22,em_transito,8091.12,marketplace,não
432,920,2023-08-06,entregue,16746.53,marketplace,não
433,2740,2024-02-27,entregue,29046.91,site,sim
434,2617,2024-09-15,cancelado,3008.8,marketplace,sim
435,2760,2023-03-27,entregue,2833.32,site,não
436,363,2023-11-01,cancelado,3417.05,app,não
437,681,2023-01-05,entregue,2503.98,site,não
438,2915,2023-11-29,entregue,8531.64,site,sim
439,502,2024-02-12,entregue,10197.99,site,não
440,1139,2024-08-15,cancelado,18748.05,marketplace,sim
441,841,2023-07-15,entregue,7484.6,marketplace,não
442,2412,2023-11-04,entregue,16039.04,site,sim
443,328,2023-04-23,cancelado,6124.19,site,sim
444,2542,2024-11-19,entregue,4640.79,site,sim
445,2458,2023-11-04,cancelado,1895.01,app,não
446,1644,2023-09-10,entregue,6321.94,marketplace,sim
447,798,2023-10-06,entregue,3752.68,app,não
448,841,2023-10-08,cancelado,15713.95,marketplace,não
449,2832,2023-03-05,devolvido,9439.59,site,sim
450,1029,2023-04-04,entregue,3969.3,site,não
451,2716,2023-01-26,devolvido,11063.91,site,não
452,159,2024-07-29,devolvido,2038.69,app,não
453,136,2023-03-16,entregue,1784.07,marketplace,sim
454,822,2023-12-04,entregue,5927.26,app,não
455,809,2023-11-02,entregue,17150.52,marketplace,sim
456,2424,2023-11-30,entregue,19442.93,marketplace,sim
457,354,2023-04-29,cancelado,621.51,site,não
458,67,2023-11-07,entregue,472.5,app,não
459,362,2023-05-03,devolvido,4439.72,site,não
460,1985,2023-03-18,entregue,25051.25,marketplace,não
461,1559,2024-03-14,entregue,2310.69,site,não
462,2610,2024-09-21,entregue,17871.27,site,não
463,694,2023-06-05,entregue,7983.7,site,sim
464,1375,2023-02-22,entregue,8774.13,app,não
465,1666,2023-12-19,entregue,21368.03,app,não
466,1278,2023-01-03,entregue,2533.08,site,sim
467,2392,2024-12-22,entregue,22243.77,marketplace,não
468,2477,2024-08-06,entregue,13131.65,marketplace,não
469,2576,2023-12-15,entregue,12198.83,app,não
470,1492,2023-10-31,entregue,1558.92,site,sim
471,1656,2024-10-31,entregue,10896.4,app,não
472,93,2023-03-26,devolvido,14546.57,app,sim
473,21,2024-01-23,entregue,2123.93,marketplace,não
474,2869,2023-04-16,cancelado,10261.24,site,não
475,2456,2023-11-09,entregue,4123.4,site,sim
476,788,2023-04-24,entregue,18567.47,site,sim
477,2262,2023-06-29,entregue,10843.69,marketplace,sim
478,638,2024-01-02,entregue,5950.34,marketplace,sim
479,2975,2023-10-02,entregue,30332.48,app,não
480,2886,2023-11-08,entregue,4200.55,app,não
481,1306,2024-03-29,entregue,1955.79,site,não
482,32,2024-03-23,cancelado,22156.27,app,não
483,2280,2024-09-05,entregue,7708.5,app,não
484,299,2023-11-10,em_transito,31418.82,site,sim
485,2512,2023-05-10,cancelado,12612.82,marketplace,não
486,2277,2024-04-10,cancelado,15601.0,app,não
487,2628,2024-07-22,entregue,9571.36,marketplace,não
488,2291,2023-01-26,em_transito,2343.2,marketplace,não
489,598,2023-11-27,em_transito,19978.12,marketplace,não
490,2952,2024-08-12,entregue,6957.04,site,sim
491,1525,2023-11-10,cancelado,2918.47,marketplace,sim
492,3,2024-09-09,entregue,1499.1,app,sim
493,2130,2024-07-10,cancelado,9210.6,app,sim
494,1883,2024-04-08,entregue,9280.64,app,sim
495,1820,2023-08-17,entregue,28642.32,app,não
496,574,2024-10-12,entregue,4317.28,site,não
497,659,2024-02-12,entregue,8135.12,app,não
498,739,2023-01-10,entregue,19968.41,marketplace,não
499,1235,2023-02-02,entregue,14978.8,app,sim
500,1401,2024-02-12,entregue,4662.8,marketplace,sim
501,2396,2024-01-29,devolvido,6013.68,site,não
502,674,2023-03-04,entregue,1193.1,site,não
503,2457,2023-07-05,entregue,9598.49,site,não
504,928,2023-11-01,entregue,30499.95,site,não
505,2458,2023-11-06,em_transito,17973.35,site,não
506,357,2024-07-08,em_transito,7468.6,site,sim
507,1664,2023-08-03,devolvido,1098.45,app,não
508,1454,2023-08-09,devolvido,4664.07,site,não
509,1468,2023-11-05,entregue,11272.6,site,sim
510,2634,2024-01-18,entregue,36147.04,marketplace,sim
511,239,2023-07-08,entregue,7518.8,marketplace,sim
512,1395,2024-11-24,cancelado,5485.3,app,não
513,2457,2024-04-05,cancelado,2403.69,marketplace,sim
514,1410,2023-08-11,cancelado,16997.62,site,não
515,1907,2024-07-01,entregue,18929.49,site,sim
516,53,2023-05-02,entregue,5392.75,marketplace,sim
517,428,2024-11-17,em_transito,12158.13,app,não
518,240,2024-11-05,entregue,4967.24,app,sim
519,2358,2023-03-30,entregue,11398.68,marketplace,sim
520,2955,2023-06-09,entregue,22878.69,site,não
521,2785,2023-01-25,entregue,1458.42,app,não
522,555,2024-12-01,cancelado,19690.63,app,sim
523,1551,2024-06-13,entregue,6673.08,marketplace,não
524,344,2023-11-28,entregue,13448.99,site,sim
525,1003,2023-12-11,entregue,2834.22,site,sim
526,2857,2023-11-05,entregue,22161.31,app,não
527,1557,2023-05-10,cancelado,8214.4,app,sim
528,2269,2024-11-30,entregue,1547.92,app,não
529,862,2023-05-23,entregue,27071.69,site,não
